Instruction,Question,output_50tkn_hint
,When is an avocado ripe?,"Avocados can be a bit tricky to determine when they're ripe, but here are some tips to help you out:

1. **Color:** A ripe avocado will turn from a bright green to a more muted green or yellowish-green color"
,Is there a way to tell if a gold coin is a fake?,"Yes, there are several ways to determine if a gold coin is authentic or a fake. Here are some steps you can take:

1. **Weight and Size**: Genuine gold coins have a specific weight and size. Check the coin's weight and"
,How to find the best online casino games?,"Finding the best online casino games can be a daunting task, especially with the numerous options available. Here are some steps to help you find the best online casino games that suit your preferences:

1. **Determine your game preferences**: Decide what type"
,What is the best way to make a DIY project?,"The best way to make a DIY project is to follow a well-planned and structured approach. Here are some steps to help you achieve a successful DIY project:

1. **Define Your Project**: Clearly define what you want to make and what you"
,"Suggest a list of names for an internal billing too platform that is also used for internal operations and communication. The name should be one or two words and clever or funny.

Some examples might be: 

Cash Canoe
Dave","Here are some suggestions for a name for your internal billing tool platform:

1. **Bill Buddy**: A friendly-sounding name that implies the tool is a helpful companion for billing tasks.
2. **Cash Clarity**: A name that suggests the"
,How much does it cost to get an MBA degree?,"The cost of getting an MBA (Master of Business Administration) degree can vary significantly depending on several factors, including the institution, location, program type, and duration. Here are some general estimates:

**Full-time MBA programs:**

* Top-tier"
What is AWS EMR?,,"AWS EMR (Elastic MapReduce) is a fully managed big data processing service offered by Amazon Web Services (AWS). It allows users to easily process large amounts of data in the cloud using popular open-source tools like Apache Spark, Apache Hive"
,Is it true that a polar bear's fur is white?,"Actually, a polar bear's fur is not white. It appears white because of the way the individual hairs are structured. Each hair is transparent and hollow, which allows it to scatter and reflect sunlight, giving the appearance of whiteness. This"
,What was the status of the Jews in Morocco before the Almohads came into power?,"Before the Almohads came into power, the Jews in Morocco enjoyed a relatively tolerant and prosperous period under the Almoravid dynasty. The Almoravids, who ruled Morocco from the 11th to the 12th century,"
Name some computer viruses,,"Here are some well-known computer viruses:

1. **I Love You** (2000): A worm that spread through email and infected an estimated 50 million computers worldwide.
2. **Conficker** (2008): A worm that targeted"
,What is the name of the rivalry between the Giants and Dodgers?,"The rivalry between the Giants and Dodgers is known as the Giants-Dodgers rivalry or the California Freeway Series. It is one of the oldest and most iconic rivalries in Major League Baseball, dating back to 1883 when both teams were"
,I want to get rid of the odor in my garbage disposal. What should I use?,"A stinky garbage disposal can be a real nuisance! Don't worry, I've got some effective solutions to help you eliminate the odor. Here are a few options:

1. **Baking Soda and Vinegar**: Mix 1/2"
,"I've been trying to lose weight, but I don't know how to get started. Can you help me?","I'd be happy to help you get started on your weight loss journey.

First, let's set a realistic goal. How much weight do you want to lose, and by when? Having a specific goal in mind will help you stay motivated."
,What was the name of the president who signed the Indian Removal Act?,"The president who signed the Indian Removal Act was Andrew Jackson. He signed the act on May 28, 1830. The Indian Removal Act led to the forced relocation of thousands of Native Americans from their ancestral lands to Indian Territory (present-day"
,What are the steps required to become a Canadian citizen?,"Becoming a Canadian citizen involves several steps, which are outlined below:

**Step 1: Meet the Eligibility Criteria**

* Be at least 18 years old (or 14 years old with a parent applying)
* Be a permanent"
